lsoa_code,lsoa_name,population,reference_year,source
E01016180,,1360,2024,Office for National Statistics
E01016181,,1977,2024,Office for National Statistics
E01016182,,1555,2024,Office for National Statistics
E01016183,,1347,2024,Office for National Statistics
E01016185,,1413,2024,Office for National Statistics
E01016187,,1606,2024,Office for National Statistics
E01016188,,2657,2024,Office for National Statistics
E01016190,,1602,2024,Office for National Statistics
E01016191,,1721,2024,Office for National Statistics
E01016192,,1362,2024,Office for National Statistics
E01016193,,1221,2024,Office for National Statistics
E01016194,,1210,2024,Office for National Statistics
E01016195,,1189,2024,Office for National Statistics
E01016196,,2307,2024,Office for National Statistics
E01016197,,1418,2024,Office for National Statistics
E01016198,,1151,2024,Office for National Statistics
E01016199,,1160,2024,Office for National Statistics
E01016200,,1330,2024,Office for National Statistics
E01016201,,1291,2024,Office for National Statistics
E01016202,,1214,2024,Office for National Statistics
E01016203,,1300,2024,Office for National Statistics
E01016204,,1190,2024,Office for National Statistics
E01016205,,1326,2024,Office for National Statistics
E01016206,,2043,2024,Office for National Statistics
E01016207,,2738,2024,Office for National Statistics
E01016208,,2253,2024,Office for National Statistics
E01016209,,1510,2024,Office for National Statistics
E01016210,,1295,2024,Office for National Statistics
E01016212,,1312,2024,Office for National Statistics
E01016213,,1171,2024,Office for National Statistics
E01016214,,1385,2024,Office for National Statistics
E01016215,,1229,2024,Office for National Statistics
E01016216,,1311,2024,Office for National Statistics
E01016217,,1369,2024,Office for National Statistics
E01016218,,1354,2024,Office for National Statistics
E01016219,,1283,2024,Office for National Statistics
E01016220,,1427,2024,Office for National Statistics
E01016221,,1242,2024,Office for National Statistics
E01016222,,1180,2024,Office for National Statistics
E01016223,,1247,2024,Office for National Statistics
E01016224,,2199,2024,Office for National Statistics
E01016226,,1566,2024,Office for National Statistics
E01016227,,1297,2024,Office for National Statistics
E01016228,,1810,2024,Office for National Statistics
E01016229,,1178,2024,Office for National Statistics
E01016230,,1990,2024,Office for National Statistics
E01016231,,1975,2024,Office for National Statistics
E01016232,,1455,2024,Office for National Statistics
E01016233,,2675,2024,Office for National Statistics
E01016234,,1002,2024,Office for National Statistics
E01016235,,1234,2024,Office for National Statistics
E01016236,,1438,2024,Office for National Statistics
E01016237,,1107,2024,Office for National Statistics
E01016238,,1838,2024,Office for National Statistics
E01016239,,1558,2024,Office for National Statistics
E01016240,,1724,2024,Office for National Statistics
E01016241,,1782,2024,Office for National Statistics
E01016242,,2371,2024,Office for National Statistics
E01016243,,1400,2024,Office for National Statistics
E01016245,,2341,2024,Office for National Statistics
E01016246,,1529,2024,Office for National Statistics
E01016247,,1789,2024,Office for National Statistics
E01016248,,1590,2024,Office for National Statistics
E01016250,,1894,2024,Office for National Statistics
E01016252,,1485,2024,Office for National Statistics
E01016253,,1365,2024,Office for National Statistics
E01016254,,1516,2024,Office for National Statistics
E01016255,,1535,2024,Office for National Statistics
E01016256,,1699,2024,Office for National Statistics
E01016257,,1313,2024,Office for National Statistics
E01016258,,1535,2024,Office for National Statistics
E01016259,,1562,2024,Office for National Statistics
E01016260,,1632,2024,Office for National Statistics
E01016261,,1623,2024,Office for National Statistics
E01016262,,1405,2024,Office for National Statistics
E01016263,,2366,2024,Office for National Statistics
E01016264,,1756,2024,Office for National Statistics
E01016265,,1567,2024,Office for National Statistics
E01016266,,1385,2024,Office for National Statistics
E01016267,,1506,2024,Office for National Statistics
E01016268,,1735,2024,Office for National Statistics
E01016269,,1431,2024,Office for National Statistics
E01016270,,1492,2024,Office for National Statistics
E01016271,,1430,2024,Office for National Statistics
E01016272,,1542,2024,Office for National Statistics
E01016273,,1711,2024,Office for National Statistics
E01016274,,1437,2024,Office for National Statistics
E01016275,,1443,2024,Office for National Statistics
E01016276,,1952,2024,Office for National Statistics
E01016277,,1542,2024,Office for National Statistics
E01016279,,2473,2024,Office for National Statistics
E01016280,,1870,2024,Office for National Statistics
E01016281,,1477,2024,Office for National Statistics
E01016282,,1498,2024,Office for National Statistics
E01016284,,1345,2024,Office for National Statistics
E01016285,,1532,2024,Office for National Statistics
E01016286,,1813,2024,Office for National Statistics
E01016287,,1422,2024,Office for National Statistics
E01016288,,1709,2024,Office for National Statistics
E01016289,,1430,2024,Office for National Statistics
E01016290,,1550,2024,Office for National Statistics
E01016291,,1954,2024,Office for National Statistics
E01016292,,1633,2024,Office for National Statistics
E01016294,,1499,2024,Office for National Statistics
E01016295,,1547,2024,Office for National Statistics
E01016296,,1570,2024,Office for National Statistics
E01016297,,1815,2024,Office for National Statistics
E01016298,,1234,2024,Office for National Statistics
E01016299,,1534,2024,Office for National Statistics
E01016300,,1479,2024,Office for National Statistics
E01016301,,2017,2024,Office for National Statistics
E01016302,,1523,2024,Office for National Statistics
E01016303,,1424,2024,Office for National Statistics
E01016304,,1574,2024,Office for National Statistics
E01016305,,1220,2024,Office for National Statistics
E01016306,,1360,2024,Office for National Statistics
E01016307,,1705,2024,Office for National Statistics
E01016308,,2023,2024,Office for National Statistics
E01016309,,2446,2024,Office for National Statistics
E01016310,,1963,2024,Office for National Statistics
E01016311,,1685,2024,Office for National Statistics
E01016312,,2019,2024,Office for National Statistics
E01016313,,1796,2024,Office for National Statistics
E01016314,,1589,2024,Office for National Statistics
E01016315,,1704,2024,Office for National Statistics
E01016316,,2075,2024,Office for National Statistics
E01016317,,1522,2024,Office for National Statistics
E01016318,,1525,2024,Office for National Statistics
E01016319,,1876,2024,Office for National Statistics
E01016320,,1493,2024,Office for National Statistics
E01016321,,1689,2024,Office for National Statistics
E01016322,,1453,2024,Office for National Statistics
E01016323,,1604,2024,Office for National Statistics
E01016324,,1820,2024,Office for National Statistics
E01016325,,1596,2024,Office for National Statistics
E01016326,,1373,2024,Office for National Statistics
E01016327,,1238,2024,Office for National Statistics
E01016328,,2060,2024,Office for National Statistics
E01016329,,1363,2024,Office for National Statistics
E01016330,,1385,2024,Office for National Statistics
E01016331,,1594,2024,Office for National Statistics
E01016332,,1633,2024,Office for National Statistics
E01016333,,1281,2024,Office for National Statistics
E01016334,,1682,2024,Office for National Statistics
E01016335,,1490,2024,Office for National Statistics
E01016336,,1315,2024,Office for National Statistics
E01016337,,2322,2024,Office for National Statistics
E01016338,,1725,2024,Office for National Statistics
E01016339,,2967,2024,Office for National Statistics
E01016340,,2037,2024,Office for National Statistics
E01016341,,1296,2024,Office for National Statistics
E01016342,,2079,2024,Office for National Statistics
E01016343,,1359,2024,Office for National Statistics
E01016344,,1592,2024,Office for National Statistics
E01016345,,1508,2024,Office for National Statistics
E01016346,,1683,2024,Office for National Statistics
E01016348,,2509,2024,Office for National Statistics
E01016349,,1215,2024,Office for National Statistics
E01016350,,1507,2024,Office for National Statistics
E01016353,,2448,2024,Office for National Statistics
E01016355,,2108,2024,Office for National Statistics
E01016356,,1662,2024,Office for National Statistics
E01016357,,1859,2024,Office for National Statistics
E01016358,,2098,2024,Office for National Statistics
E01016359,,3274,2024,Office for National Statistics
E01016360,,2783,2024,Office for National Statistics
E01016361,,2210,2024,Office for National Statistics
E01016362,,1859,2024,Office for National Statistics
E01016363,,1913,2024,Office for National Statistics
E01016364,,1466,2024,Office for National Statistics
E01016365,,1639,2024,Office for National Statistics
E01016366,,1535,2024,Office for National Statistics
E01016367,,1599,2024,Office for National Statistics
E01016368,,1649,2024,Office for National Statistics
E01016369,,1848,2024,Office for National Statistics
E01016370,,3872,2024,Office for National Statistics
E01016371,,1740,2024,Office for National Statistics
E01016372,,1460,2024,Office for National Statistics
E01016373,,1584,2024,Office for National Statistics
E01016374,,1846,2024,Office for National Statistics
E01016375,,1407,2024,Office for National Statistics
E01016376,,1943,2024,Office for National Statistics
E01016377,,1905,2024,Office for National Statistics
E01016379,,2173,2024,Office for National Statistics
E01016380,,1710,2024,Office for National Statistics
E01016381,,1578,2024,Office for National Statistics
E01016382,,2003,2024,Office for National Statistics
E01016383,,1550,2024,Office for National Statistics
E01016384,,1792,2024,Office for National Statistics
E01016385,,1778,2024,Office for National Statistics
E01016386,,1483,2024,Office for National Statistics
E01016387,,1532,2024,Office for National Statistics
E01016388,,1530,2024,Office for National Statistics
E01016389,,1925,2024,Office for National Statistics
E01016390,,1751,2024,Office for National Statistics
E01016391,,2202,2024,Office for National Statistics
E01016392,,2477,2024,Office for National Statistics
E01016393,,2103,2024,Office for National Statistics
E01016394,,1602,2024,Office for National Statistics
E01016395,,1547,2024,Office for National Statistics
E01016396,,1667,2024,Office for National Statistics
E01016397,,1882,2024,Office for National Statistics
E01016398,,1843,2024,Office for National Statistics
E01016399,,1594,2024,Office for National Statistics
E01016400,,1830,2024,Office for National Statistics
E01016401,,1448,2024,Office for National Statistics
E01016402,,2123,2024,Office for National Statistics
E01016403,,2145,2024,Office for National Statistics
E01016404,,2347,2024,Office for National Statistics
E01016405,,2409,2024,Office for National Statistics
E01016406,,1684,2024,Office for National Statistics
E01016407,,1685,2024,Office for National Statistics
E01016408,,1436,2024,Office for National Statistics
E01016409,,1873,2024,Office for National Statistics
E01016410,,1886,2024,Office for National Statistics
E01016411,,1652,2024,Office for National Statistics
E01016412,,1496,2024,Office for National Statistics
E01016413,,1791,2024,Office for National Statistics
E01016414,,1870,2024,Office for National Statistics
E01016415,,1780,2024,Office for National Statistics
E01016416,,2160,2024,Office for National Statistics
E01016417,,1772,2024,Office for National Statistics
E01016418,,1581,2024,Office for National Statistics
E01016419,,2160,2024,Office for National Statistics
E01016420,,1583,2024,Office for National Statistics
E01016421,,1370,2024,Office for National Statistics
E01016422,,1470,2024,Office for National Statistics
E01016423,,1623,2024,Office for National Statistics
E01016424,,1470,2024,Office for National Statistics
E01016425,,1717,2024,Office for National Statistics
E01016426,,1410,2024,Office for National Statistics
