id,label,department_id,system_id,manager_id,status,start_date,end_date,budget_sar
PRJ-0001,مشروع تطوير الخدمات الرقمية 1,DEP-010,SYS-0018,EMP-0020,مخطط,2023-01-09,2023-08-07,585000
PRJ-0002,مشروع رفع كفاءة العمليات 2,DEP-019,SYS-0035,EMP-0039,مكتمل,2023-01-17,2023-09-14,670000
PRJ-0003,مشروع توحيد البيانات 3,DEP-028,SYS-0052,EMP-0058,قيد التنفيذ,2023-01-25,2023-10-22,755000
PRJ-0004,مشروع تجربة المستفيد 4,DEP-037,SYS-0069,EMP-0077,مخطط,2023-02-02,2023-11-29,840000
PRJ-0005,مشروع الأتمتة الذكية 5,DEP-046,SYS-0086,EMP-0096,مكتمل,2023-02-10,2024-01-06,925000
PRJ-0006,مشروع الحوكمة المؤسسية 6,DEP-005,SYS-0103,EMP-0115,قيد التنفيذ,2023-02-18,2024-02-13,1010000
PRJ-0007,مشروع تعزيز الأمن السيبراني 7,DEP-014,SYS-0120,EMP-0134,مخطط,2023-02-26,2024-03-22,1095000
PRJ-0008,مشروع إدارة المعرفة 8,DEP-023,SYS-0137,EMP-0153,مكتمل,2023-03-06,2023-09-02,1180000
PRJ-0009,مشروع تحسين جودة البيانات 9,DEP-032,SYS-0154,EMP-0172,قيد التنفيذ,2023-03-14,2023-10-10,1265000
PRJ-0010,مشروع استمرارية الأعمال 10,DEP-041,SYS-0171,EMP-0191,مخطط,2023-03-22,2023-11-17,1350000
PRJ-0011,مشروع تحليل الأداء 11,DEP-050,SYS-0188,EMP-0210,مكتمل,2023-03-30,2023-12-25,1435000
PRJ-0012,مشروع التحول السحابي 12,DEP-009,SYS-0005,EMP-0229,قيد التنفيذ,2023-04-07,2024-02-01,1520000
PRJ-0013,مشروع إدارة الأصول 13,DEP-018,SYS-0022,EMP-0248,مخطط,2023-04-15,2024-03-10,1605000
PRJ-0014,مشروع تكامل الأنظمة 14,DEP-027,SYS-0039,EMP-0267,مكتمل,2023-04-23,2024-04-17,1690000
PRJ-0015,مشروع مركز الاتصال 15,DEP-036,SYS-0056,EMP-0286,قيد التنفيذ,2023-05-01,2024-05-25,1775000
PRJ-0016,مشروع إدارة المواهب 16,DEP-045,SYS-0073,EMP-0305,مخطط,2023-05-09,2023-11-05,1860000
PRJ-0017,مشروع المشتريات الرقمية 17,DEP-004,SYS-0090,EMP-0324,مكتمل,2023-05-17,2023-12-13,1945000
PRJ-0018,مشروع الامتثال المؤسسي 18,DEP-013,SYS-0107,EMP-0343,قيد التنفيذ,2023-05-25,2024-01-20,2030000
PRJ-0019,مشروع الأرشفة الإلكترونية 19,DEP-022,SYS-0124,EMP-0362,مخطط,2023-06-02,2024-02-27,2115000
PRJ-0020,مشروع الابتكار المفتوح 20,DEP-031,SYS-0141,EMP-0381,مكتمل,2023-06-10,2024-04-05,2200000
PRJ-0021,مشروع تطوير الخدمات الرقمية 21,DEP-040,SYS-0158,EMP-0400,قيد التنفيذ,2023-06-18,2024-05-13,2285000
PRJ-0022,مشروع رفع كفاءة العمليات 22,DEP-049,SYS-0175,EMP-0419,مخطط,2023-06-26,2024-06-20,2370000
PRJ-0023,مشروع توحيد البيانات 23,DEP-008,SYS-0192,EMP-0438,مكتمل,2023-07-04,2024-07-28,2455000
PRJ-0024,مشروع تجربة المستفيد 24,DEP-017,SYS-0009,EMP-0457,قيد التنفيذ,2023-07-12,2024-01-08,2540000
PRJ-0025,مشروع الأتمتة الذكية 25,DEP-026,SYS-0026,EMP-0476,مخطط,2023-07-20,2024-02-15,2625000
PRJ-0026,مشروع الحوكمة المؤسسية 26,DEP-035,SYS-0043,EMP-0495,مكتمل,2023-07-28,2024-03-24,2710000
PRJ-0027,مشروع تعزيز الأمن السيبراني 27,DEP-044,SYS-0060,EMP-0514,قيد التنفيذ,2023-08-05,2024-05-01,2795000
PRJ-0028,مشروع إدارة المعرفة 28,DEP-003,SYS-0077,EMP-0533,مخطط,2023-08-13,2024-06-08,2880000
PRJ-0029,مشروع تحسين جودة البيانات 29,DEP-012,SYS-0094,EMP-0552,مكتمل,2023-08-21,2024-07-16,2965000
PRJ-0030,مشروع استمرارية الأعمال 30,DEP-021,SYS-0111,EMP-0571,قيد التنفيذ,2023-08-29,2024-08-23,3050000
PRJ-0031,مشروع تحليل الأداء 31,DEP-030,SYS-0128,EMP-0590,مخطط,2023-09-06,2024-09-30,3135000
PRJ-0032,مشروع التحول السحابي 32,DEP-039,SYS-0145,EMP-0609,مكتمل,2023-09-14,2024-03-12,3220000
PRJ-0033,مشروع إدارة الأصول 33,DEP-048,SYS-0162,EMP-0628,قيد التنفيذ,2023-09-22,2024-04-19,3305000
PRJ-0034,مشروع تكامل الأنظمة 34,DEP-007,SYS-0179,EMP-0647,مخطط,2023-09-30,2024-05-27,3390000
PRJ-0035,مشروع مركز الاتصال 35,DEP-016,SYS-0196,EMP-0666,مكتمل,2023-10-08,2024-07-04,3475000
PRJ-0036,مشروع إدارة المواهب 36,DEP-025,SYS-0013,EMP-0685,قيد التنفيذ,2023-10-16,2024-08-11,3560000
PRJ-0037,مشروع المشتريات الرقمية 37,DEP-034,SYS-0030,EMP-0704,مخطط,2023-10-24,2024-09-18,3645000
PRJ-0038,مشروع الامتثال المؤسسي 38,DEP-043,SYS-0047,EMP-0723,مكتمل,2023-11-01,2024-10-26,3730000
PRJ-0039,مشروع الأرشفة الإلكترونية 39,DEP-002,SYS-0064,EMP-0742,قيد التنفيذ,2023-11-09,2024-12-03,3815000
PRJ-0040,مشروع الابتكار المفتوح 40,DEP-011,SYS-0081,EMP-0761,مخطط,2023-11-17,2024-05-15,3900000
PRJ-0041,مشروع تطوير الخدمات الرقمية 41,DEP-020,SYS-0098,EMP-0780,مكتمل,2023-11-25,2024-06-22,3985000
PRJ-0042,مشروع رفع كفاءة العمليات 42,DEP-029,SYS-0115,EMP-0799,قيد التنفيذ,2023-12-03,2024-07-30,4070000
PRJ-0043,مشروع توحيد البيانات 43,DEP-038,SYS-0132,EMP-0018,مخطط,2023-12-11,2024-09-06,4155000
PRJ-0044,مشروع تجربة المستفيد 44,DEP-047,SYS-0149,EMP-0037,مكتمل,2023-12-19,2024-10-14,4240000
PRJ-0045,مشروع الأتمتة الذكية 45,DEP-006,SYS-0166,EMP-0056,قيد التنفيذ,2023-12-27,2024-11-21,4325000
PRJ-0046,مشروع الحوكمة المؤسسية 46,DEP-015,SYS-0183,EMP-0075,مخطط,2024-01-04,2024-12-29,4410000
PRJ-0047,مشروع تعزيز الأمن السيبراني 47,DEP-024,SYS-0200,EMP-0094,مكتمل,2024-01-12,2025-02-05,4495000
PRJ-0048,مشروع إدارة المعرفة 48,DEP-033,SYS-0017,EMP-0113,قيد التنفيذ,2024-01-20,2024-07-18,4580000
PRJ-0049,مشروع تحسين جودة البيانات 49,DEP-042,SYS-0034,EMP-0132,مخطط,2024-01-28,2024-08-25,4665000
PRJ-0050,مشروع استمرارية الأعمال 50,DEP-001,SYS-0051,EMP-0151,مكتمل,2024-02-05,2024-10-02,4750000
PRJ-0051,مشروع تحليل الأداء 51,DEP-010,SYS-0068,EMP-0170,قيد التنفيذ,2024-02-13,2024-11-09,4835000
PRJ-0052,مشروع التحول السحابي 52,DEP-019,SYS-0085,EMP-0189,مخطط,2024-02-21,2024-12-17,4920000
PRJ-0053,مشروع إدارة الأصول 53,DEP-028,SYS-0102,EMP-0208,مكتمل,2024-02-29,2025-01-24,5005000
PRJ-0054,مشروع تكامل الأنظمة 54,DEP-037,SYS-0119,EMP-0227,قيد التنفيذ,2024-03-08,2025-03-03,5090000
PRJ-0055,مشروع مركز الاتصال 55,DEP-046,SYS-0136,EMP-0246,مخطط,2024-03-16,2025-04-10,5175000
