id,label,sector,location_id,manager_id,annual_budget_sar
DEP-001,الإدارة التنفيذية,قطاع الأعمال,LOC-001,EMP-0001,2375000
DEP-002,الموارد البشرية,قطاع التقنية,LOC-002,EMP-0002,2750000
DEP-003,المالية,قطاع الاستراتيجية,LOC-003,EMP-0003,3125000
DEP-004,المشتريات,قطاع الخدمات المشتركة,LOC-004,EMP-0004,3500000
DEP-005,الشؤون القانونية,قطاع الأعمال,LOC-005,EMP-0005,3875000
DEP-006,تقنية المعلومات,قطاع التقنية,LOC-006,EMP-0006,4250000
DEP-007,الأمن السيبراني,قطاع الاستراتيجية,LOC-007,EMP-0007,4625000
DEP-008,إدارة البيانات,قطاع الخدمات المشتركة,LOC-008,EMP-0008,5000000
DEP-009,الذكاء الاصطناعي,قطاع الأعمال,LOC-009,EMP-0009,5375000
DEP-010,التحول الرقمي,قطاع التقنية,LOC-010,EMP-0010,5750000
DEP-011,العمليات,قطاع الاستراتيجية,LOC-011,EMP-0011,6125000
DEP-012,الجودة والتميز,قطاع الخدمات المشتركة,LOC-012,EMP-0012,6500000
DEP-013,إدارة المشاريع,قطاع الأعمال,LOC-001,EMP-0013,6875000
DEP-014,التخطيط الاستراتيجي,قطاع التقنية,LOC-002,EMP-0014,7250000
DEP-015,إدارة المخاطر,قطاع الاستراتيجية,LOC-003,EMP-0015,7625000
DEP-016,المراجعة الداخلية,قطاع الخدمات المشتركة,LOC-004,EMP-0016,8000000
DEP-017,خدمة العملاء,قطاع الأعمال,LOC-005,EMP-0017,8375000
DEP-018,تجربة المستفيد,قطاع التقنية,LOC-006,EMP-0018,8750000
DEP-019,التسويق,قطاع الاستراتيجية,LOC-007,EMP-0019,9125000
DEP-020,الاتصال المؤسسي,قطاع الخدمات المشتركة,LOC-008,EMP-0020,9500000
DEP-021,المبيعات,قطاع الأعمال,LOC-009,EMP-0021,9875000
DEP-022,تطوير الأعمال,قطاع التقنية,LOC-010,EMP-0022,10250000
DEP-023,سلاسل الإمداد,قطاع الاستراتيجية,LOC-011,EMP-0023,10625000
DEP-024,إدارة المخزون,قطاع الخدمات المشتركة,LOC-012,EMP-0024,11000000
DEP-025,الخدمات اللوجستية,قطاع الأعمال,LOC-001,EMP-0025,11375000
DEP-026,الصيانة,قطاع التقنية,LOC-002,EMP-0026,11750000
DEP-027,المرافق,قطاع الاستراتيجية,LOC-003,EMP-0027,12125000
DEP-028,السلامة,قطاع الخدمات المشتركة,LOC-004,EMP-0028,12500000
DEP-029,الاستدامة,قطاع الأعمال,LOC-005,EMP-0029,12875000
DEP-030,المسؤولية الاجتماعية,قطاع التقنية,LOC-006,EMP-0030,13250000
DEP-031,البحث والتطوير,قطاع الاستراتيجية,LOC-007,EMP-0031,13625000
DEP-032,الابتكار,قطاع الخدمات المشتركة,LOC-008,EMP-0032,14000000
DEP-033,التدريب والتطوير,قطاع الأعمال,LOC-009,EMP-0033,14375000
DEP-034,إدارة المعرفة,قطاع التقنية,LOC-010,EMP-0034,14750000
DEP-035,إدارة المحتوى,قطاع الاستراتيجية,LOC-011,EMP-0035,15125000
DEP-036,الحوكمة,قطاع الخدمات المشتركة,LOC-012,EMP-0036,15500000
DEP-037,الامتثال,قطاع الأعمال,LOC-001,EMP-0037,15875000
DEP-038,الخصوصية,قطاع التقنية,LOC-002,EMP-0038,16250000
DEP-039,هندسة الحلول,قطاع الاستراتيجية,LOC-003,EMP-0039,16625000
DEP-040,البنية التحتية,قطاع الخدمات المشتركة,LOC-004,EMP-0040,17000000
DEP-041,دعم التطبيقات,قطاع الأعمال,LOC-005,EMP-0041,17375000
DEP-042,إدارة الخدمات,قطاع التقنية,LOC-006,EMP-0042,17750000
DEP-043,مكتب البيانات,قطاع الاستراتيجية,LOC-007,EMP-0043,18125000
DEP-044,التحليلات,قطاع الخدمات المشتركة,LOC-008,EMP-0044,18500000
DEP-045,هندسة المؤسسات,قطاع الأعمال,LOC-009,EMP-0045,18875000
DEP-046,العلاقات الحكومية,قطاع التقنية,LOC-010,EMP-0046,19250000
DEP-047,الشراكات,قطاع الاستراتيجية,LOC-011,EMP-0047,19625000
DEP-048,العقود,قطاع الخدمات المشتركة,LOC-012,EMP-0048,20000000
DEP-049,الاستثمار,قطاع الأعمال,LOC-001,EMP-0049,20375000
DEP-050,إدارة الأصول,قطاع التقنية,LOC-002,EMP-0050,20750000
