id,label,department_id,vendor_id,category,criticality,status
SYS-0001,نظام الموارد البشرية المؤسسية 1,DEP-008,VEN-0014,الموارد البشرية,متوسطة,قيد التطوير
SYS-0002,بوابة المالية المؤسسية 2,DEP-015,VEN-0027,المالية,منخفضة,تحت التحديث
SYS-0003,تطبيق المشتريات المؤسسية 3,DEP-022,VEN-0040,المشتريات,عالية,تشغيلي
SYS-0004,مستودع العقود المؤسسية 4,DEP-029,VEN-0053,العقود,متوسطة,قيد التطوير
SYS-0005,منصة الوثائق المؤسسية 5,DEP-036,VEN-0066,الوثائق,منخفضة,تحت التحديث
SYS-0006,نظام خدمة العملاء المؤسسية 6,DEP-043,VEN-0079,خدمة العملاء,عالية,تشغيلي
SYS-0007,بوابة إدارة المشاريع المؤسسية 7,DEP-050,VEN-0092,إدارة المشاريع,متوسطة,قيد التطوير
SYS-0008,تطبيق المخاطر المؤسسية 8,DEP-007,VEN-0105,المخاطر,منخفضة,تحت التحديث
SYS-0009,مستودع الأصول المؤسسية 9,DEP-014,VEN-0118,الأصول,عالية,تشغيلي
SYS-0010,منصة المخزون المؤسسية 10,DEP-021,VEN-0131,المخزون,متوسطة,قيد التطوير
SYS-0011,نظام التحليلات المؤسسية 11,DEP-028,VEN-0144,التحليلات,منخفضة,تحت التحديث
SYS-0012,بوابة التدريب المؤسسية 12,DEP-035,VEN-0157,التدريب,عالية,تشغيلي
SYS-0013,تطبيق الحوكمة المؤسسية 13,DEP-042,VEN-0170,الحوكمة,متوسطة,قيد التطوير
SYS-0014,مستودع الأمن السيبراني المؤسسية 14,DEP-049,VEN-0183,الأمن السيبراني,منخفضة,تحت التحديث
SYS-0015,منصة إدارة الهوية المؤسسية 15,DEP-006,VEN-0196,إدارة الهوية,عالية,تشغيلي
SYS-0016,نظام المراسلات المؤسسية 16,DEP-013,VEN-0209,المراسلات,متوسطة,قيد التطوير
