employee_id,project_id,role,allocation_percent
EMP-0024,PRJ-0001,قائد مسار,20
EMP-0055,PRJ-0001,محلل أعمال,30
EMP-0086,PRJ-0001,مهندس حلول,40
EMP-0117,PRJ-0001,عضو فريق,50
EMP-0148,PRJ-0001,قائد مسار,60
EMP-0179,PRJ-0001,محلل أعمال,20
EMP-0210,PRJ-0001,مهندس حلول,30
EMP-0241,PRJ-0001,عضو فريق,40
EMP-0272,PRJ-0001,قائد مسار,50
EMP-0303,PRJ-0001,محلل أعمال,60
EMP-0334,PRJ-0001,مهندس حلول,20
EMP-0365,PRJ-0001,عضو فريق,30
EMP-0047,PRJ-0002,قائد مسار,20
EMP-0078,PRJ-0002,محلل أعمال,30
EMP-0109,PRJ-0002,مهندس حلول,40
EMP-0140,PRJ-0002,عضو فريق,50
EMP-0171,PRJ-0002,قائد مسار,60
EMP-0202,PRJ-0002,محلل أعمال,20
EMP-0233,PRJ-0002,مهندس حلول,30
EMP-0264,PRJ-0002,عضو فريق,40
EMP-0295,PRJ-0002,قائد مسار,50
EMP-0326,PRJ-0002,محلل أعمال,60
EMP-0357,PRJ-0002,مهندس حلول,20
EMP-0388,PRJ-0002,عضو فريق,30
EMP-0070,PRJ-0003,قائد مسار,20
EMP-0101,PRJ-0003,محلل أعمال,30
EMP-0132,PRJ-0003,مهندس حلول,40
EMP-0163,PRJ-0003,عضو فريق,50
EMP-0194,PRJ-0003,قائد مسار,60
EMP-0225,PRJ-0003,محلل أعمال,20
EMP-0256,PRJ-0003,مهندس حلول,30
EMP-0287,PRJ-0003,عضو فريق,40
EMP-0318,PRJ-0003,قائد مسار,50
EMP-0349,PRJ-0003,محلل أعمال,60
EMP-0380,PRJ-0003,مهندس حلول,20
EMP-0411,PRJ-0003,عضو فريق,30
EMP-0093,PRJ-0004,قائد مسار,20
EMP-0124,PRJ-0004,محلل أعمال,30
EMP-0155,PRJ-0004,مهندس حلول,40
EMP-0186,PRJ-0004,عضو فريق,50
EMP-0217,PRJ-0004,قائد مسار,60
EMP-0248,PRJ-0004,محلل أعمال,20
EMP-0279,PRJ-0004,مهندس حلول,30
EMP-0310,PRJ-0004,عضو فريق,40
EMP-0341,PRJ-0004,قائد مسار,50
EMP-0372,PRJ-0004,محلل أعمال,60
EMP-0403,PRJ-0004,مهندس حلول,20
EMP-0434,PRJ-0004,عضو فريق,30
EMP-0116,PRJ-0005,قائد مسار,20
EMP-0147,PRJ-0005,محلل أعمال,30
EMP-0178,PRJ-0005,مهندس حلول,40
