id,label,city,specialty,classification,commercial_status
VEN-0001,مؤسسة النخبة تحليل البيانات 1,جدة,الاستشارات,معتمد,نشط
VEN-0002,مجموعة الريادة الخدمات السحابية 2,الدمام,الأمن السيبراني,مسجل,نشط
VEN-0003,شركة الحلول الاستشارات 3,مكة المكرمة,تحليل البيانات,استراتيجي,نشط
VEN-0004,مؤسسة القمم البنية التحتية 4,المدينة المنورة,البنية التحتية,معتمد,نشط
VEN-0005,مجموعة الآفاق تكامل الأنظمة 5,أبها,التدريب,مسجل,نشط
VEN-0006,شركة الإتقان الأمن السيبراني 6,تبوك,الخدمات السحابية,استراتيجي,نشط
VEN-0007,مؤسسة السحابة التدريب 7,القصيم,تكامل الأنظمة,معتمد,نشط
VEN-0008,مجموعة التكامل الحلول الرقمية 8,حائل,الحلول الرقمية,مسجل,نشط
VEN-0009,شركة الركائز تحليل البيانات 9,جازان,الاستشارات,استراتيجي,نشط
VEN-0010,مؤسسة التميز الخدمات السحابية 10,نجران,الأمن السيبراني,معتمد,نشط
VEN-0011,مجموعة الابتكار الاستشارات 11,الأحساء,تحليل البيانات,مسجل,نشط
VEN-0012,شركة البيان البنية التحتية 12,الرياض,البنية التحتية,استراتيجي,نشط
VEN-0013,مؤسسة المستقبل تكامل الأنظمة 13,جدة,التدريب,معتمد,نشط
VEN-0014,مجموعة الدرع الأمن السيبراني 14,الدمام,الخدمات السحابية,مسجل,نشط
VEN-0015,شركة المعرفة التدريب 15,مكة المكرمة,تكامل الأنظمة,استراتيجي,نشط
VEN-0016,مؤسسة المنارة الحلول الرقمية 16,المدينة المنورة,الحلول الرقمية,معتمد,نشط
VEN-0017,مجموعة المسار تحليل البيانات 17,أبها,الاستشارات,مسجل,نشط
VEN-0018,شركة الواحة الخدمات السحابية 18,تبوك,الأمن السيبراني,استراتيجي,نشط
VEN-0019,مؤسسة البوصلة الاستشارات 19,القصيم,تحليل البيانات,معتمد,نشط
VEN-0020,مجموعة المدار البنية التحتية 20,حائل,البنية التحتية,مسجل,نشط
VEN-0021,شركة الرؤية تكامل الأنظمة 21,جازان,التدريب,استراتيجي,نشط
VEN-0022,مؤسسة الربط الأمن السيبراني 22,نجران,الخدمات السحابية,معتمد,نشط
VEN-0023,مجموعة الصفوة التدريب 23,الأحساء,تكامل الأنظمة,مسجل,نشط
VEN-0024,شركة الرواد الحلول الرقمية 24,الرياض,الحلول الرقمية,استراتيجي,نشط
VEN-0025,مؤسسة النخبة تحليل البيانات 25,جدة,الاستشارات,معتمد,نشط
VEN-0026,مجموعة الريادة الخدمات السحابية 26,الدمام,الأمن السيبراني,مسجل,نشط
VEN-0027,شركة الحلول الاستشارات 27,مكة المكرمة,تحليل البيانات,استراتيجي,نشط
VEN-0028,مؤسسة القمم البنية التحتية 28,المدينة المنورة,البنية التحتية,معتمد,نشط
VEN-0029,مجموعة الآفاق تكامل الأنظمة 29,أبها,التدريب,مسجل,نشط
VEN-0030,شركة الإتقان الأمن السيبراني 30,تبوك,الخدمات السحابية,استراتيجي,نشط
VEN-0031,مؤسسة السحابة التدريب 31,القصيم,تكامل الأنظمة,معتمد,نشط
VEN-0032,مجموعة التكامل الحلول الرقمية 32,حائل,الحلول الرقمية,مسجل,نشط
VEN-0033,شركة الركائز تحليل البيانات 33,جازان,الاستشارات,استراتيجي,نشط
VEN-0034,مؤسسة التميز الخدمات السحابية 34,نجران,الأمن السيبراني,معتمد,نشط
VEN-0035,مجموعة الابتكار الاستشارات 35,الأحساء,تحليل البيانات,مسجل,نشط
VEN-0036,شركة البيان البنية التحتية 36,الرياض,البنية التحتية,استراتيجي,نشط
VEN-0037,مؤسسة المستقبل تكامل الأنظمة 37,جدة,التدريب,معتمد,نشط
VEN-0038,مجموعة الدرع الأمن السيبراني 38,الدمام,الخدمات السحابية,مسجل,نشط
VEN-0039,شركة المعرفة التدريب 39,مكة المكرمة,تكامل الأنظمة,استراتيجي,نشط
VEN-0040,مؤسسة المنارة الحلول الرقمية 40,المدينة المنورة,الحلول الرقمية,معتمد,نشط
VEN-0041,مجموعة المسار تحليل البيانات 41,أبها,الاستشارات,مسجل,نشط
VEN-0042,شركة الواحة الخدمات السحابية 42,تبوك,الأمن السيبراني,استراتيجي,نشط
VEN-0043,مؤسسة البوصلة الاستشارات 43,القصيم,تحليل البيانات,معتمد,نشط
VEN-0044,مجموعة المدار البنية التحتية 44,حائل,البنية التحتية,مسجل,نشط
VEN-0045,شركة الرؤية تكامل الأنظمة 45,جازان,التدريب,استراتيجي,نشط
VEN-0046,مؤسسة الربط الأمن السيبراني 46,نجران,الخدمات السحابية,معتمد,نشط
VEN-0047,مجموعة الصفوة التدريب 47,الأحساء,تكامل الأنظمة,مسجل,نشط
VEN-0048,شركة الرواد الحلول الرقمية 48,الرياض,الحلول الرقمية,استراتيجي,نشط
VEN-0049,مؤسسة النخبة تحليل البيانات 49,جدة,الاستشارات,معتمد,نشط
VEN-0050,مجموعة الريادة الخدمات السحابية 50,الدمام,الأمن السيبراني,مسجل,نشط
VEN-0051,شركة الحلول الاستشارات 51,مكة المكرمة,تحليل البيانات,استراتيجي,نشط
VEN-0052,مؤسسة القمم البنية التحتية 52,المدينة المنورة,البنية التحتية,معتمد,نشط
VEN-0053,مجموعة الآفاق تكامل الأنظمة 53,أبها,التدريب,مسجل,نشط
VEN-0054,شركة الإتقان الأمن السيبراني 54,تبوك,الخدمات السحابية,استراتيجي,نشط
VEN-0055,مؤسسة السحابة التدريب 55,القصيم,تكامل الأنظمة,معتمد,نشط
VEN-0056,مجموعة التكامل الحلول الرقمية 56,حائل,الحلول الرقمية,مسجل,نشط
VEN-0057,شركة الركائز تحليل البيانات 57,جازان,الاستشارات,استراتيجي,نشط
VEN-0058,مؤسسة التميز الخدمات السحابية 58,نجران,الأمن السيبراني,معتمد,نشط
VEN-0059,مجموعة الابتكار الاستشارات 59,الأحساء,تحليل البيانات,مسجل,نشط
VEN-0060,شركة البيان البنية التحتية 60,الرياض,البنية التحتية,استراتيجي,نشط
VEN-0061,مؤسسة المستقبل تكامل الأنظمة 61,جدة,التدريب,معتمد,نشط
VEN-0062,مجموعة الدرع الأمن السيبراني 62,الدمام,الخدمات السحابية,مسجل,نشط
VEN-0063,شركة المعرفة التدريب 63,مكة المكرمة,تكامل الأنظمة,استراتيجي,نشط
VEN-0064,مؤسسة المنارة الحلول الرقمية 64,المدينة المنورة,الحلول الرقمية,معتمد,نشط
VEN-0065,مجموعة المسار تحليل البيانات 65,أبها,الاستشارات,مسجل,نشط
VEN-0066,شركة الواحة الخدمات السحابية 66,تبوك,الأمن السيبراني,استراتيجي,نشط
VEN-0067,مؤسسة البوصلة الاستشارات 67,القصيم,تحليل البيانات,معتمد,نشط
VEN-0068,مجموعة المدار البنية التحتية 68,حائل,البنية التحتية,مسجل,نشط
VEN-0069,شركة الرؤية تكامل الأنظمة 69,جازان,التدريب,استراتيجي,نشط
VEN-0070,مؤسسة الربط الأمن السيبراني 70,نجران,الخدمات السحابية,معتمد,نشط
VEN-0071,مجموعة الصفوة التدريب 71,الأحساء,تكامل الأنظمة,مسجل,نشط
VEN-0072,شركة الرواد الحلول الرقمية 72,الرياض,الحلول الرقمية,استراتيجي,نشط
VEN-0073,مؤسسة النخبة تحليل البيانات 73,جدة,الاستشارات,معتمد,نشط
VEN-0074,مجموعة الريادة الخدمات السحابية 74,الدمام,الأمن السيبراني,مسجل,نشط
VEN-0075,شركة الحلول الاستشارات 75,مكة المكرمة,تحليل البيانات,استراتيجي,نشط
VEN-0076,مؤسسة القمم البنية التحتية 76,المدينة المنورة,البنية التحتية,معتمد,نشط
VEN-0077,مجموعة الآفاق تكامل الأنظمة 77,أبها,التدريب,مسجل,نشط
