Crime ID,Falls within,LSOA code,LSOA name,Latitude,Location,Longitude,Month,Outcome type,Reported by
f32d1f708fe18486cdaefc08ae36fe0ea80856b248c10a7b28965d33a09ad911,Thames Valley Police,,,,No location,,2026-06,Suspect charged,Thames Valley Police
5f3bc6a6a784a452fc1ebbfca0ec8ef51a7e5df68afc01e47211038fff076fea,Thames Valley Police,,,,No location,,2026-06,Suspect charged,Thames Valley Police
a799e99495ced6676872fb5d484dad2105489ba9cb7892d47ce1d52a342112fc,Thames Valley Police,E01028521,Oxford 008A,51.752057,On or near A420,-1.257399,2026-06,Suspect charged,Thames Valley Police
68bd0c1fcfd336dcfc8ccba7dcd0f33fa7963858b59ff47e9e2f7cc0a27586c1,Thames Valley Police,,,,No location,,2026-06,Suspect charged,Thames Valley Police
e4f2400e58fda04dd7635ea587dab2921f75c026b84b3785104f26166176d5ab,Thames Valley Police,E01028445,Cherwell 003A,52.071949,On or near Danesmoor,-1.352177,2026-06,Unable to prosecute suspect,Thames Valley Police
b2a109ed467c4fc7c3c4916376bc56e1ce7490b59df8cc5871a31f0da9ee5825,Thames Valley Police,,,,No location,,2026-06,Local resolution,Thames Valley Police
c8a1314bb8add2509faedfac06457ad6b2eab9698c75cefdda59d9a869e9adbb,Thames Valley Police,E01035257,Wokingham 008H,51.440832,On or near Supermarket,-0.943015,2026-06,Suspect charged,Thames Valley Police
54fcdd234a8550947e2f13bc3b24ece24e0505779b67c6a6bbf8988291fd9342,Thames Valley Police,E01016519,Slough 005D,51.532007,On or near Hospital,-0.573992,2026-06,Suspect charged,Thames Valley Police
93daa75fe43c9c830a42e9ade9136078212a2a964082a2a63d74669611212cd7,Thames Valley Police,E01028580,Oxford 011B,51.747723,On or near Avenue Lane,-1.234932,2026-06,Investigation complete; no suspect identified,Thames Valley Police
dce2c44477b9a2fac86fda7d1af2aa09b2f37b24db7dcb240b7ff5a7e1d69495,Thames Valley Police,E01017665,Buckinghamshire 013A,51.820783,On or near Blake Street,-0.822924,2026-06,Unable to prosecute suspect,Thames Valley Police
3996bf478273b9bd0273b40883df1d9160f1cf969cb4ab9c24ebcb22e5170595,Thames Valley Police,E01032730,Slough 009G,51.509229,On or near Bronte Close,-0.599273,2026-06,Further investigation is not in the public interest,Thames Valley Police
37c11ea075061236bcbda6d38506db98a2730295fbdfaea34b5520f8963fda81,Thames Valley Police,,,,No location,,2026-06,Unable to prosecute suspect,Thames Valley Police
5f9ea95814db2dbe5889f28fde80d798dec563e0f55d842cb7f6bcb6fe8dac7f,Thames Valley Police,E01016438,Reading 017D,51.423088,On or near Ambrook Road,-0.965890,2026-06,Unable to prosecute suspect,Thames Valley Police
72a360730b980e0e7a207ea93608253486400517b650631ded44d75996f35eee,Thames Valley Police,E01028783,West Oxfordshire 001D,51.940218,On or near Dunstan Avenue,-1.549309,2026-06,Unable to prosecute suspect,Thames Valley Police
1c317c45fad540f00d75c4dd33eed519ae76dbe028021f84bf73b7a682173bce,Thames Valley Police,E01016377,Reading 017C,51.441447,On or near Elgar Road South,-0.970727,2026-06,Unable to prosecute suspect,Thames Valley Police
9fb74940ae88d205ae740b7c54b15a23775aa215059ddd87e5b9e8a6fa0214be,Thames Valley Police,,,,No location,,2026-06,Unable to prosecute suspect,Thames Valley Police
eed43e99595b45451270fe8f86664d882fd702097d4906d595e3ae210edcb5f1,Thames Valley Police,,,,No location,,2026-06,Unable to prosecute suspect,Thames Valley Police
7f3e8beda40dda5c038eda64cdaec24a4024f694c48d3749c348656fda3ed79d,Thames Valley Police,,,,No location,,2026-06,Suspect charged,Thames Valley Police
91ac914cba0900fe0d3624e17038df2dc5a48311f9dabac0d0a16de9f8e13fc6,Thames Valley Police,,,,No location,,2026-06,Suspect charged,Thames Valley Police
d9e26ec52c515a8b00eca77d28244b0c63fa400c57ef1e16246bb0ee1f3beafe,Thames Valley Police,,,,No location,,2026-06,Unable to prosecute suspect,Thames Valley Police
19de6b3d42b00f125300f23545cb47352ea603ab538f146cda9302857a0df9b6,Thames Valley Police,E01016479,Slough 014A,51.491561,On or near Welland Close,-0.538941,2026-06,Local resolution,Thames Valley Police
3bfe086f59ee5f3d2e904cd3fba43b71e42fa44d44b23da0d3b9d0e0e85b17bd,Thames Valley Police,,,,No location,,2026-06,Unable to prosecute suspect,Thames Valley Police
645266c977024de2cf523dc9012a05ad127b6c8056bbfeb81138f584c0f8919e,Thames Valley Police,,,,No location,,2026-06,Local resolution,Thames Valley Police
7cf0069331b5f9a0cc970da2d50bc523b688e5f9123d249bfa955d1eb732d2e6,Thames Valley Police,E01017769,Buckinghamshire 028A,51.710525,On or near Crossway,-0.596538,2026-06,Investigation complete; no suspect identified,Thames Valley Police
e52db62467fd734724f8442aaba947682932a248598354688a865d5d63807053,Thames Valley Police,E01028551,Oxford 009D,51.753785,On or near Worcester Street,-1.263470,2026-06,Unable to prosecute suspect,Thames Valley Police
a6fc84b9c71d534227597e97c89b1203f194411adf2c9aaff5f116d74bd5e38f,Thames Valley Police,,,,No location,,2026-06,Unable to prosecute suspect,Thames Valley Police
90e8a96039edb3ec9d46f76df8ed46c847986dfb401bedf6a944a1b55dfe76f9,Thames Valley Police,,,,No location,,2026-06,Unable to prosecute suspect,Thames Valley Police
01faa41158bcfd7fdacbee80fbda616d0438e4267747f11ac8525808e99ecc29,Thames Valley Police,,,,No location,,2026-06,Investigation complete; no suspect identified,Thames Valley Police
0751ef2f7cfab951cdb305886ad10d367dd8ce85b4c454f8d6bfaa880c474b70,Thames Valley Police,,,,No location,,2026-06,Unable to prosecute suspect,Thames Valley Police
24d04f9bb2ba3396004323047dee4bf678b5c259d775a3808b30ddd318651b25,Thames Valley Police,,,,No location,,2026-06,Unable to prosecute suspect,Thames Valley Police
